,count,values
premis.event.eventIdentifier.eventIdentifierValue.@value,1,['1de1f888-fbf7-47e5-987e-5e5bc72ac2c5']
premis.object.storage.contentLocation.contentLocationType.authority,1,['contentLocationType']
premis.event.linkingAgentIdentifier.linkingAgentRole.authority,1,['eventRelatedAgentRole']
premis.object.storage.contentLocation.contentLocationType.@value,1,"['Byte offset', 'EXT3', 'XFS']"
premis.rights.rightsStatement.linkingAgentIdentifier.linkingAgentIdentifierValue.@value,1,"['McLellan, Evelyn']"
premis.object.storage.contentLocation.contentLocationValue.@value,1,"['/var/sharedDirectory/www/AIPsStore/3jf8/a138/505b/4a00/abb7/2bec/dnv8/vDos.exe', '/var/sharedDirectory/www/AIPsStore/ebdc/a138/505b/4a00/abb7/2bec/afde/LETTER.wpd', '128']"
premis.object.preservationLevel.preservationLevelRole.@value,1,"['capability', 'intention']"
premis.object.preservationLevel.preservationLevelRole.authority,1,['preservationLevelRole']
premis.object.objectIdentifier.objectIdentifierType.@value,1,['local']
premis.rights.rightsStatement.copyrightInformation.copyrightJurisdiction.@value,1,['CA']
premis.object.storage.storageMedium.@value,1,['Hard disk']
premis.object.relationship.relationshipType.authority,1,['relationshipType']
premis.agent.agentType.authority,1,['agentType']
premis.object.preservationLevel.preservationLevelRole.valueURI,1,"['http://id.loc.gov/vocabulary/preservation/preservationLevelRole/cap', 'http://id.loc.gov/vocabulary/preservation/preservationLevelRole/int']"
premis.rights.rightsStatement.rightsBasis.valueURI,1,['http://id.loc.gov/vocabulary/preservation/rightsBasis/cop']
premis.rights.rightsStatement.rightsGranted.rightsGrantedNote.@value,1,['Replication for preservation purposes only']
premis.rights.rightsStatement.copyrightInformation.copyrightStatusDeterminationDate.@value,1,['2012-04-16']
premis.agent.agentIdentifier.agentIdentifierType.@value,1,['local']
premis.object.objectCharacteristics.inhibitors.inhibitorTarget.authority,1,['inhibitorTarget']
premis.object.preservationLevel.preservationLevelType.@value,1,"['Bit preservation', 'logical preservation']"
premis.event.eventIdentifier.eventIdentifierType.@value,1,['UUID']
premis.object.objectCharacteristics.inhibitors.inhibitorType.@value,1,['Password protection']
premis.object.environmentDesignation.environmentOrigin.@value,1,"['Jos Schaars', 'Microsoft Corporation', 'WordPerfect Corporation']"
premis.agent.agentVersion.@value,1,['1.3.2-81']
premis.event.linkingAgentIdentifier.linkingAgentRole.valueURI,1,"['http://id.loc.gov/vocabulary/preservation/eventRelatedAgentRole/exe', 'http://id.loc.gov/vocabulary/preservation/eventRelatedAgentRole/imp']"
premis.object.relationship.relationshipSubType.authority,1,['relationshipSubType']
premis.object.objectCharacteristics.inhibitors.inhibitorType.authorityURI,1,['http://id.loc.gov/vocabulary/preservation/inhibitorType']
premis.object.environmentRegistry.environmentRegistryKey.@value,1,['http://sourceforge.net/projects/vdos/']
premis.object.relationship.relationshipSubType.@value,1,"['has part', 'is part of', 'isEmulatedBy', 'represents', 'requires']"
premis.rights.rightsStatement.rightsBasis.authorityURI,1,['http://id.loc.gov/vocabulary/preservation/rightsBasis']
premis.rights.rightsStatement.linkingObjectIdentifier.linkingObjectIdentifierValue.@value,1,['001']
premis.rights.rightsStatement.copyrightInformation.copyrightApplicableDates.startDate.@value,1,['1991-07-19']
premis.object.storage.storageMedium.authorityURI,1,['http://id.loc.gov/vocabulary/preservation/storageMedium']
premis.rights.rightsStatement.rightsGranted.restriction.@value,1,['Allow']
premis.object.objectCharacteristics.fixity.messageDigestAlgorithm.authority,1,['cryptographicHashFunctions']
premis.event.eventOutcomeInformation.eventOutcome.@value,1,['00']
premis.event.linkingAgentIdentifier.linkingAgentRole.authorityURI,1,['http://id.loc.gov/vocabulary/preservation/eventRelatedAgentRole']
premis.agent.agentNote.@value,1,['PRONOM signature files v81']
premis.rights.rightsStatement.linkingAgentIdentifier.linkingAgentIdentifierType.@value,1,['local']
premis.object.environmentRegistry.environmentRegistryRole.authority,1,['environmentRegistryRole']
